"Wavelength (nm)","T"
1617,89.24204
1618,89.16305
1619,89.41814
1620,89.32608
1621,89.2606
1622,89.544
1623,89.3806
1624,89.41987
1625,89.69552
1626,89.46153
1627,89.60524
1628,89.81084
1629,89.4902
1630,89.76673
1631,89.89877
1632,89.56143
1633,89.95687
1634,89.94385
1635,89.67561
1636,90.12661
1637,89.96111
1638,89.80624
1639,90.26447
1640,89.95414
1641,89.94363
1642,90.39616
1643,89.95628
1644,90.16502
1645,90.50228
1646,90.03126
1647,90.36182
1648,90.54068
1649,90.03928
1650,90.54109
1651,90.50903
1652,90.10116
1653,90.71817
1654,90.46688
1655,90.16641
1656,90.83607
1657,90.44687
1658,90.32754
1659,90.97392
1660,90.40092
1661,90.49242
1662,90.9845
1663,90.29028
1664,90.73884
1665,91.04967
1666,90.30575
1667,90.98479
1668,91.02515
1669,90.25754
1670,91.1991
1671,90.88289
1672,90.36317
1673,91.44949
1674,90.69186
1675,90.50964
1676,91.67477
1677,90.4791
1678,89.37347
1679,89.68593
1680,90.65981
1681,89.2625
1682,89.99511
1683,92.10316
1684,91.37048
1685,90.02757
1686,92.47629
1687,91.0694
1688,90.32584
1689,92.84997
1690,90.71004
1691,90.91128
1692,93.10447
1693,90.1758
1694,91.48514
1695,92.84812
1696,89.34895
1697,92.06154
1698,92.6209
1699,89.02508
1700,93.07198
1701,92.53304
1702,89.14214
1703,93.99115
1704,92.00275
1705,90.05989
1706,94.76202
1707,91.24392
1708,90.85538
1709,95.00093
1710,89.70226
1711,92.22906
1712,95.45197
1713,89.17696
1714,94.52036
1715,95.67467
1716,88.29762
1717,96.2373
1718,95.15721
1719,88.40455
1720,98.03327
1721,94.7399
1722,90.07212
1723,99.48672
1724,93.20366
